Age,Gender,High_School_GPA,University_Ranking,University_GPA,Field_of_Study,Internships_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Work_Life_Balance
24,Male,3.58,291,3.96,Arts,3,2,9,8,5,27200.0,4,5,7
21,Other,2.52,112,3.63,Law,4,3,8,1,4,25000.0,1,1,7
28,Female,3.42,715,2.63,Medicine,4,1,1,9,0,42400.0,9,3,7
25,Male,2.43,170,2.81,Computer Science,3,1,10,6,1,57400.0,7,5,5
22,Male,2.08,599,2.48,Engineering,4,4,10,9,4,47600.0,9,5,2
24,Male,2.4,631,3.78,Law,2,2,2,2,1,68400.0,9,2,8
27,Male,2.36,610,3.83,Computer Science,0,3,3,3,2,55500.0,7,4,3
20,Male,2.68,240,2.84,Computer Science,1,5,5,1,2,38000.0,2,3,3
24,Male,2.84,337,3.31,Business,2,0,5,5,2,68900.0,2,2,2
28,Male,3.02,138,2.33,Computer Science,1,3,10,2,0,58900.0,4,2,2
28,Female,2.95,594,2.87,Mathematics,2,5,8,1,5,26300.0,9,1,2
25,Female,2.54,236,3.26,Law,2,3,2,9,5,35100.0,7,4,6
22,Female,2.06,648,2.77,Engineering,2,5,2,9,2,42600.0,9,4,8
21,Male,3.21,794,2.72,Arts,0,3,8,6,2,76500.0,4,3,3
25,Male,2.79,3,2.0,Business,1,3,1,8,1,61100.0,9,3,6
25,Female,2.6,571,3.61,Computer Science,3,2,9,9,3,34500.0,7,4,3
20,Female,3.73,116,3.78,Law,3,3,2,5,3,97500.0,8,5,9
23,Male,3.49,472,3.94,Mathematics,4,5,5,2,5,61800.0,1,5,1
22,Female,3.72,131,3.44,Mathematics,0,5,3,4,5,32200.0,9,2,7
19,Female,2.99,934,3.1,Mathematics,0,1,5,3,2,45500.0,8,4,8
25,Female,2.26,898,2.54,Medicine,0,5,8,10,5,42200.0,1,2,9
29,Male,3.39,483,4.0,Business,2,1,8,7,3,37400.0,8,5,5
23,Female,2.41,401,3.18,Engineering,0,5,6,10,2,69500.0,5,3,6
19,Female,2.88,201,3.36,Medicine,3,3,9,10,2,48100.0,3,4,5
29,Female,2.13,292,3.36,Engineering,0,5,7,10,0,63900.0,8,1,10
22,Female,3.65,342,3.69,Medicine,2,1,2,8,4,48100.0,3,2,5
18,Female,2.25,991,2.02,Arts,1,2,1,5,3,44600.0,8,4,7
29,Female,3.81,610,2.44,Engineering,0,0,8,2,2,41000.0,5,1,4
27,Male,3.73,216,3.33,Medicine,1,3,1,9,3,50300.0,8,2,6
23,Female,2.93,636,3.79,Mathematics,4,5,8,1,0,38300.0,3,5,4
29,Female,3.49,585,3.37,Engineering,2,1,9,5,0,49500.0,10,2,2
26,Female,3.24,366,2.83,Business,0,1,1,3,2,41500.0,6,3,2
18,Male,3.61,890,2.72,Engineering,4,2,7,8,3,29800.0,6,2,4
28,Male,2.86,642,3.48,Law,4,5,5,8,3,44600.0,4,2,5
28,Female,3.57,469,3.48,Engineering,1,2,8,1,3,25000.0,5,4,1
27,Female,2.92,418,3.21,Medicine,3,0,4,4,0,70300.0,7,4,3
29,Female,3.88,27,2.58,Engineering,3,5,2,10,1,57500.0,1,5,5
29,Female,2.97,677,3.85,Arts,3,4,7,8,1,43000.0,8,3,8
20,Female,2.93,455,3.1,Computer Science,3,4,7,9,3,25000.0,3,3,4
29,Female,3.57,918,3.58,Business,2,5,8,9,3,50200.0,7,5,6
24,Female,3.64,580,2.43,Law,0,4,9,2,4,53400.0,9,1,4
21,Female,3.11,14,2.69,Mathematics,0,0,6,9,2,56300.0,2,2,5
26,Female,2.36,98,3.75,Medicine,2,3,3,8,0,38400.0,10,4,7
20,Male,2.94,279,2.1,Mathematics,1,4,5,9,4,53200.0,10,5,8
22,Male,3.94,940,3.02,Mathematics,0,4,3,9,3,78700.0,7,5,10
20,Female,3.51,490,2.96,Engineering,4,5,10,3,5,42200.0,1,4,10
24,Male,3.62,985,3.5,Engineering,0,1,9,5,1,65500.0,5,4,8
22,Male,2.07,961,2.56,Engineering,2,1,5,3,1,49800.0,7,1,7
26,Male,2.94,883,2.44,Business,1,3,7,6,4,47900.0,5,3,4
24,Male,3.29,759,3.85,Law,0,5,10,10,1,52000.0,5,4,4
19,Male,3.66,624,3.14,Computer Science,2,2,7,5,1,42000.0,6,5,2
21,Male,2.1,207,2.21,Arts,4,0,7,2,5,52100.0,10,2,9
26,Female,3.7,864,2.39,Law,3,4,10,3,2,64500.0,10,1,6
29,Female,3.1,846,4.0,Arts,4,5,4,7,3,63500.0,6,2,3
19,Male,2.39,233,2.39,Mathematics,4,5,4,10,4,67200.0,10,2,3
27,Male,2.63,573,3.22,Law,1,0,3,10,5,40600.0,2,3,1
26,Female,2.56,597,2.84,Medicine,0,1,4,5,0,50900.0,10,2,2
27,Male,3.06,695,3.77,Computer Science,3,0,9,3,0,82700.0,10,5,5
22,Female,2.1,239,3.51,Computer Science,2,1,5,4,5,35400.0,9,5,9
19,Female,2.32,250,3.19,Business,3,0,6,6,3,48300.0,3,4,3
21,Female,3.63,583,2.02,Law,0,1,4,8,0,31800.0,1,3,7
29,Male,2.27,740,3.76,Engineering,1,0,1,7,5,51600.0,1,4,6
29,Female,2.47,597,2.89,Computer Science,0,4,7,3,1,65600.0,9,2,3
24,Male,2.91,306,3.86,Law,2,4,7,2,2,75700.0,6,5,4
29,Female,3.03,1000,2.99,Engineering,3,3,6,3,4,35000.0,7,4,5
25,Female,3.53,908,3.39,Business,4,0,4,5,4,37600.0,2,5,2
20,Male,2.89,463,2.14,Mathematics,0,2,10,7,1,73700.0,1,4,8
18,Male,3.58,783,3.49,Mathematics,1,3,8,8,3,25000.0,2,1,7
21,Male,3.24,913,2.68,Law,1,0,8,6,2,40400.0,3,3,9
19,Female,2.23,802,2.7,Law,3,2,1,2,0,64600.0,3,4,8
25,Male,2.31,236,2.24,Medicine,4,4,9,2,4,25000.0,8,2,7
21,Female,2.87,291,2.29,Law,2,4,8,10,4,34300.0,4,5,9
19,Male,2.79,39,2.37,Medicine,4,5,2,5,3,68900.0,1,5,10
23,Female,3.49,998,2.66,Engineering,3,4,9,5,2,25000.0,2,3,5
23,Female,3.16,718,3.78,Mathematics,4,5,4,1,5,25000.0,9,3,3
27,Female,2.78,183,2.74,Engineering,3,2,10,1,0,62600.0,2,1,6
21,Female,2.34,699,3.45,Mathematics,4,1,6,9,4,74400.0,9,4,9
23,Male,2.45,645,2.17,Mathematics,0,0,2,7,4,71500.0,5,1,6
19,Male,3.15,30,3.18,Computer Science,1,3,10,8,0,25000.0,4,4,3
27,Female,2.85,388,2.96,Business,3,5,4,5,2,71900.0,4,4,2
29,Male,3.03,767,3.96,Medicine,3,3,2,3,2,51200.0,3,3,5
19,Male,2.34,143,3.69,Mathematics,1,4,9,3,2,37900.0,2,3,8
27,Male,3.33,615,2.91,Computer Science,2,1,9,3,4,36000.0,8,4,8
21,Male,3.71,419,3.55,Arts,3,5,5,1,5,60500.0,6,3,1
25,Male,2.52,74,2.39,Computer Science,0,0,3,3,1,56600.0,9,4,3
24,Female,2.98,55,3.12,Engineering,4,5,3,2,4,71100.0,2,3,5
29,Male,3.95,962,2.15,Arts,0,0,1,8,3,40600.0,1,2,1
26,Female,2.67,748,2.7,Computer Science,3,3,8,10,3,42700.0,8,4,6
25,Male,3.19,572,2.45,Law,2,3,3,10,5,62100.0,8,5,4
22,Female,2.18,24,3.44,Business,3,3,4,6,4,38100.0,5,2,9
19,Male,3.21,988,2.98,Medicine,2,0,2,5,4,62300.0,2,1,2
22,Female,2.18,22,3.5,Law,1,5,8,1,0,33300.0,10,3,10
25,Female,3.92,428,3.03,Arts,4,3,3,2,2,80600.0,5,1,5
27,Male,3.43,32,2.17,Mathematics,0,0,2,2,5,79900.0,8,5,5
26,Female,3.58,863,3.47,Business,2,4,1,7,0,39000.0,4,3,6
29,Other,3.41,339,3.67,Mathematics,0,5,10,7,5,50900.0,2,1,5
29,Female,3.18,947,3.81,Computer Science,1,5,2,6,3,51800.0,3,2,10
29,Female,2.9,981,3.14,Law,3,5,2,8,3,48000.0,3,1,10
26,Male,3.72,515,3.51,Engineering,2,1,4,4,1,35000.0,9,3,9
18,Female,3.91,512,3.5,Engineering,4,3,1,9,2,51600.0,3,2,1
26,Male,3.0,70,2.31,Business,2,0,1,8,2,27800.0,1,5,8
24,Male,3.86,672,2.33,Engineering,3,4,6,3,5,73000.0,7,1,6
26,Other,3.17,898,2.14,Medicine,3,2,5,3,3,74000.0,1,4,9
25,Male,3.08,88,2.64,Mathematics,4,4,1,9,0,70200.0,6,3,10
18,Female,2.91,877,2.95,Business,4,1,6,9,4,71300.0,10,4,7
29,Female,2.42,571,4.0,Business,1,4,8,5,2,61100.0,4,4,3
25,Female,2.01,764,2.86,Engineering,0,3,5,10,4,36400.0,7,1,8
25,Other,2.48,219,3.45,Business,2,3,3,1,3,30300.0,7,4,10
28,Male,3.02,713,3.39,Computer Science,1,2,3,3,1,33900.0,7,2,3
20,Male,2.76,589,2.41,Arts,0,5,2,5,3,56800.0,6,5,3
18,Male,2.9,767,2.12,Law,1,0,9,4,4,29900.0,7,5,4
25,Male,3.96,759,3.09,Arts,4,4,9,4,3,52600.0,8,4,3
20,Male,2.7,270,3.4,Mathematics,4,2,7,1,2,58300.0,3,3,6
20,Male,2.9,819,4.0,Law,3,3,1,6,5,47200.0,5,4,7
18,Female,2.27,651,2.72,Engineering,2,5,1,10,5,50600.0,10,3,3
28,Female,2.1,78,3.79,Medicine,2,0,4,4,4,89100.0,9,5,3
22,Male,3.55,592,2.76,Medicine,2,0,2,1,4,49500.0,8,2,7
27,Female,3.14,10,3.38,Engineering,1,1,3,10,1,56100.0,6,3,10
24,Male,3.52,468,3.2,Mathematics,1,5,2,6,2,67600.0,9,5,9
27,Male,2.3,336,2.11,Engineering,2,3,1,5,0,63600.0,10,1,3
26,Female,3.14,636,2.16,Business,3,0,3,5,1,62500.0,5,4,6
29,Female,2.51,186,2.04,Medicine,0,1,7,2,2,54100.0,2,3,5
24,Female,2.46,546,2.74,Arts,1,1,10,1,5,54200.0,9,2,8
26,Male,2.02,121,3.49,Engineering,2,3,9,7,0,25000.0,5,4,9
25,Female,2.26,592,2.35,Mathematics,4,0,10,5,5,76000.0,8,5,8
29,Female,2.62,718,3.21,Mathematics,1,5,9,3,4,41100.0,8,5,1
19,Female,2.23,565,2.58,Arts,0,0,8,6,5,63200.0,4,5,7
18,Female,3.97,668,3.59,Law,1,4,6,3,1,46500.0,4,3,8
24,Female,2.62,274,3.6,Arts,0,0,1,6,4,96700.0,1,1,5
24,Female,2.26,410,3.55,Mathematics,0,1,8,6,4,37600.0,5,1,4
25,Female,2.4,358,3.05,Medicine,1,2,8,9,4,85500.0,9,5,7
22,Other,3.18,647,2.57,Law,0,3,9,8,2,48100.0,5,4,6
20,Female,2.13,941,3.62,Arts,1,2,10,1,0,61000.0,5,2,2
29,Male,3.72,98,2.37,Business,1,0,6,7,2,50300.0,6,4,9
25,Female,3.92,241,2.58,Business,3,5,3,9,4,73800.0,6,3,3
23,Male,2.49,557,2.37,Medicine,4,5,6,2,1,52000.0,8,1,1
28,Male,2.9,711,3.35,Business,0,1,8,9,5,54800.0,1,2,3
20,Female,2.04,993,3.37,Engineering,1,2,7,6,4,51500.0,5,5,1
18,Female,3.28,803,3.31,Law,0,3,8,3,0,58500.0,9,5,10
20,Female,2.83,948,2.83,Medicine,1,4,3,8,2,36100.0,3,3,7
22,Male,2.54,114,2.2,Law,1,2,8,7,0,25000.0,7,3,6
20,Female,2.41,487,3.82,Mathematics,1,5,5,8,2,56900.0,7,3,8
18,Male,3.31,789,3.02,Arts,4,4,7,8,5,82000.0,10,3,4
22,Other,2.83,241,2.81,Engineering,0,5,4,7,0,43800.0,3,5,6
27,Other,2.36,156,3.18,Medicine,4,0,3,1,0,61500.0,7,5,3
24,Female,3.38,352,2.39,Arts,4,0,6,10,2,27800.0,3,3,4
24,Female,3.13,44,2.27,Arts,4,3,9,10,2,41700.0,6,5,6
28,Female,3.72,592,2.81,Arts,4,4,4,10,2,50700.0,8,3,5
26,Female,2.23,312,2.45,Arts,3,4,9,8,3,49600.0,8,2,2
27,Male,3.57,138,2.49,Arts,0,3,3,5,5,66800.0,6,3,9
27,Male,3.35,663,3.79,Medicine,0,5,6,2,0,25000.0,2,3,2
29,Female,2.23,944,3.06,Business,1,2,5,2,3,47500.0,1,2,8
20,Female,3.39,436,2.97,Arts,0,3,9,2,3,40600.0,3,1,5
24,Male,2.88,754,3.38,Mathematics,4,0,6,9,4,36300.0,3,4,7
18,Female,3.89,143,3.9,Mathematics,2,4,2,5,3,39000.0,7,3,6
21,Male,2.28,823,2.22,Engineering,0,1,4,3,3,54100.0,4,2,2
21,Female,3.29,299,3.67,Medicine,2,5,5,6,2,52200.0,2,2,4
22,Female,2.76,562,3.17,Computer Science,3,1,9,9,2,47100.0,2,5,9
24,Female,3.91,262,2.29,Business,1,0,1,9,1,29700.0,7,3,7
24,Female,2.66,512,2.59,Engineering,1,4,9,9,5,46000.0,8,2,1
28,Male,3.92,673,2.96,Mathematics,1,4,10,10,0,66900.0,5,1,4
21,Male,3.8,62,3.38,Arts,3,3,1,4,5,25400.0,2,1,10
24,Female,2.54,567,2.49,Medicine,4,2,1,5,3,39300.0,3,4,3
28,Female,3.61,423,3.07,Medicine,2,3,4,1,3,32800.0,1,5,1
20,Male,3.99,396,3.37,Arts,0,1,6,10,0,33400.0,10,5,5
23,Female,2.51,884,2.9,Mathematics,4,4,2,6,5,46400.0,4,5,9
29,Male,2.87,996,3.73,Engineering,1,2,1,2,2,40400.0,7,3,4
19,Female,3.04,31,3.74,Medicine,1,3,4,7,2,37100.0,10,1,2
27,Female,2.59,330,2.94,Law,4,2,8,4,0,50300.0,9,3,7
26,Male,2.03,949,3.95,Mathematics,2,5,6,4,0,26500.0,3,2,8
22,Male,2.44,802,2.15,Mathematics,4,5,5,9,2,79900.0,4,4,2
23,Female,2.56,169,2.01,Business,3,1,1,1,0,41500.0,6,4,10
